index geno pheno1 pheno2 fit
108 1 0.771358 1.46669 1.00194
109 1 1.99616 0.970038 1.07877
110 2 2.12298 2.32907 1.0313
111 1 1.12588 3.79616 0.940077
112 0 0.553181 -0.30723 1.04162
113 0 0.323941 -0.701413 1.03131
114 0 0.100023 -0.529772 1.01964
115 1 0.399248 0.460259 1.01402
116 0 -0.710489 1.8318 0.932985
117 0 -0.803602 0.794378 0.933698
118 0 0.508455 -0.0650911 1.04334
119 1 -0.83178 1.8577 0.915078
120 0 0.856522 -0.705736 1.0557
121 0 1.31271 0.603859 1.04238
122 1 0.527421 -0.335641 1.03311
123 0 -2.39464 -0.0869174 0.887455
124 2 2.3216 1.16514 1.09155
125 0 0.549274 -1.66234 1.09201
126 2 3.54243 1.73203 1.11958
127 1 1.29127 1.4405 1.03099
128 0 -0.71025 1.15484 0.9221
129 1 1.59891 1.06901 1.04564
130 2 1.38655 1.95826 1.02247
131 0 -0.525942 -0.541893 0.986187
132 1 0.995875 0.838027 1.02595
133 1 0.74674 1.29436 1.01633
134 0 -0.879595 -0.337718 0.961111
135 2 -0.444688 1.14199 0.943118
136 0 -0.404142 1.0417 0.960333
137 2 0.921586 1.68225 1.00511
138 2 3.35498 2.43261 1.08932
139 1 -0.621114 1.12777 0.955808
140 1 3.00264 -0.332679 1.15607
141 1 1.02958 -0.522405 1.0545
142 1 1.30225 1.09385 1.03476
143 0 0.594449 1.83867 0.965237
144 0 0.128213 1.3942 0.972995
145 1 -0.398476 0.586444 0.955067
146 2 3.45204 1.84416 1.12998
147 1 0.269307 0.36924 1.00397
148 1 -0.0656355 1.69407 0.939691
149 1 0.863622 1.08584 1.0142
150 1 2.63992 1.15382 1.09176
151 0 1.5148 -0.597023 1.10897
152 1 0.373314 2.09158 0.966599
153 1 1.54756 -0.130005 1.08821
154 1 0.155538 0.910007 0.979318
155 1 -0.162545 0.70704 0.962806
156 1 1.67355 0.966594 1.05651
157 0 0.553671 0.314803 1.0041
158 0 -1.31575 -0.669467 0.94549
159 0 0.591454 0.229681 1.01901
160 1 1.71108 0.531984 1.06105
161 2 2.0849 0.535266 1.1016
162 1 0.0838238 0.0578002 1.00284
163 0 -0.17725 -0.377143 0.998218
164 1 1.48808 0.747869 1.05599
165 1 1.06765 2.29181 0.980444
166 2 1.68063 2.21642 1.01393
167 0 -0.226503 -0.573686 1.00337
168 1 1.81668 -0.894881 1.13585
169 1 0.998264 2.12185 1.0022
170 0 -0.0589256 -1.00239 1.02515
171 0 -0.947734 0.358855 0.932174
172 0 -0.855809 -0.778935 0.975393
173 0 0.637957 0.00925614 1.02375
174 1 0.382647 0.282426 0.998045
175 1 1.01013 2.07213 0.973521
176 1 1.92916 -0.226813 1.11264
177 1 0.227726 0.578769 0.996481
178 1 1.76274 2.45597 1.02344
179 1 1.01045 -0.0335466 1.05888
180 0 2.0392 2.08966 1.04034
181 0 1.53952 0.411626 1.04222
182 0 -1.51288 -0.0292582 0.927266
183 0 -1.58475 0.333439 0.918304
184 0 -0.0533651 -0.862809 1.00898
185 1 1.87661 -0.716869 1.13325
186 1 0.157717 1.59146 0.956945
187 1 2.05488 2.03176 1.0471
188 2 3.34776 3.14448 1.05465
189 0 0.637031 0.883576 0.975034
190 1 0.359032 1.40129 0.969562
191 1 1.70536 2.89953 0.985376
192 1 1.19553 0.438727 1.04009
193 2 1.49749 1.96539 0.994692
194 0 0.17029 0.604822 0.984289
195 0 -2.11619 -0.746489 0.907098
196 1 1.85986 1.07548 1.05446
197 1 0.0780243 2.46192 0.92805
198 1 0.831937 0.736054 1.02101
199 1 0.216701 2.14851 0.954036
200 0 -1.0941 0.673192 0.926659
201 1 0.392457 1.10647 0.986157
202 2 1.88442 1.80573 1.03813
203 2 0.877201 0.741512 1.01565
204 0 -2.10973 0.31564 0.894854
205 1 1.75802 0.85409 1.07064
206 1 0.545402 -0.236833 1.0237
207 1 0.749265 1.79869 0.976697
208 1 -0.56561 0.3728 0.940531
209 0 0.549799 -1.38841 1.07132
210 1 -0.225429 2.20997 0.938748
211 0 -0.0805374 0.542281 0.994033
212 2 2.86355 2.4801 1.07043
213 1 1.43056 1.56245 1.02964
214 1 0.409359 0.943323 0.993566
215 0 -0.785217 -1.33563 0.998334
216 0 -0.339215 -1.50717 1.03372
217 0 -0.581621 -0.800621 1.00095
218 2 1.76739 2.28261 1.02386
219 0 0.575537 -0.0876293 1.04045
220 0 0.807523 -0.865194 1.04726
221 0 -1.28014 0.3577 0.921892
222 2 3.69231 0.808845 1.15567
223 0 -0.652618 -1.82779 1.00392
224 1 0.65168 1.78186 0.979267
225 1 2.75189 1.19491 1.10377
226 2 2.42535 1.72534 1.06799
227 2 1.20486 3.13329 0.976363
228 2 0.821496 0.761143 1.00564
229 1 0.33737 0.162071 1.00112
230 1 0.0401595 4.02264 0.892731
231 0 -2.17139 -0.152842 0.892928
232 0 0.012155 1.15935 0.955009
233 0 -0.424352 -0.543119 0.990111
234 1 0.56107 1.05885 0.99952
235 0 1.27089 -0.252652 1.07097
236 1 1.59712 2.0064 1.0185
237 0 1.36184 0.508546 1.06359
238 0 -0.665381 -0.342662 0.979624
239 2 2.29527 2.07283 1.05412
240 1 1.84397 0.456711 1.07016
241 0 -1.49791 0.453329 0.905797
242 0 1.01482 -0.824906 1.07812
243 1 1.75232 2.7304 1.00268
244 2 3.07344 1.1338 1.10621
245 2 0.854557 2.24049 0.966016
246 1 2.22901 -1.25523 1.1466
247 1 0.527236 1.3963 0.987673
248 1 0.944291 2.26733 0.981607
249 1 2.00342 0.973536 1.08069
250 1 0.777736 0.201314 1.0316
251 0 -0.992586 0.924311 0.91541
252 1 0.534574 -0.769327 1.04972
253 1 1.03615 0.512741 1.04126
254 0 0.263845 0.86348 0.984028
255 2 2.16446 2.99067 1.02679
256 1 1.53677 1.87504 1.02052
257 2 2.20898 3.11159 1.02453
258 2 1.32064 0.30918 1.06058
259 1 0.373637 2.61206 0.931977
260 1 1.37371 0.687165 1.06613
261 1 0.667498 2.89495 0.931389
262 1 1.64185 -1.7267 1.13397
263 2 1.82524 2.62537 1.00223
264 1 -0.344769 1.0447 0.952028
265 2 2.03814 3.37051 0.986048
266 0 -0.526696 -0.350953 0.978265
267 1 2.12741 2.3871 1.01163
268 1 1.32651 0.00382864 1.07695
269 1 1.01411 1.63528 0.998211
270 0 -0.325955 -0.0927805 0.984814
271 0 0.289206 -1.60609 1.05632
272 0 0.248588 -0.597721 1.03073
273 1 1.7828 -0.0936493 1.09431
274 1 1.23843 0.357734 1.05242
275 0 -1.42864 -0.24496 0.938032
276 2 2.2131 1.4201 1.06189
277 1 3.31815 0.701041 1.14705
278 1 -0.13863 0.760916 0.985585
279 0 1.19781 -1.02457 1.11005
280 1 1.03335 1.30072 1.01191
281 1 1.3788 3.41467 0.97395
282 0 0.398753 -0.122281 1.01845
283 1 0.0956578 1.10045 0.96271
284 0 -0.935419 -0.921539 0.985017
285 1 0.233065 1.98321 0.950825
286 1 2.42373 -0.135492 1.12705
287 1 1.18047 0.106074 1.05155
288 2 4.31227 1.8762 1.15863
289 1 0.0700832 1.5381 0.940245
290 1 -0.0769389 3.22944 0.889924
291 2 3.61159 3.29503 1.08614
292 2 1.42131 1.82224 1.0213
293 1 1.91294 0.474839 1.07299
294 0 -0.463346 0.161062 0.954199
295 0 -0.962687 0.472398 0.938304
296 2 2.62854 1.48968 1.08192
297 2 2.3143 1.04065 1.09774
298 1 0.0708987 2.46969 0.934897
299 0 -0.230327 0.633129 0.972191
300 0 -1.69869 0.707945 0.890727
301 0 -0.887653 0.48647 0.94914
302 1 2.72851 -0.415139 1.1703
303 0 0.30665 -0.194351 1.03108
304 1 1.79942 1.33889 1.0495
305 1 0.686541 0.133043 1.03621
306 1 1.89417 -0.421455 1.11609
307 0 -1.24051 2.20866 0.87814
308 0 0.209523 -1.19591 1.0395
309 1 1.44284 1.27905 1.04906
310 1 0.973619 0.265377 1.0217
311 0 0.298932 -0.103934 1.02021
312 1 2.40915 1.79159 1.06698
313 1 3.07305 -1.03461 1.20179
314 1 0.627847 2.50058 0.959569
315 0 0.910073 -2.10626 1.11461
316 1 -0.26338 0.712673 0.960175
317 0 0.484991 2.55406 0.946845
318 1 2.00211 0.449975 1.09822
319 1 0.0650369 3.54018 0.895832
320 1 0.0909694 2.21922 0.942978
321 1 0.586893 1.96297 0.968333
322 1 -0.623539 1.83611 0.918262
323 2 4.3728 2.50408 1.14363
324 1 0.50237 0.0634298 1.03221
325 1 2.26882 1.19135 1.06084
326 0 0.69912 0.0940521 1.02729
327 1 1.6341 1.48576 1.03182
328 1 1.17834 1.28134 1.01399
329 1 0.186215 1.35699 0.975568
330 1 1.18837 0.956156 1.04166
331 1 0.668028 1.4196 0.99003
332 2 2.94688 1.53202 1.10524
333 1 0.547816 -0.276131 1.04804
334 0 -0.531432 0.310349 0.964937
335 0 0.0323856 0.809008 0.980975
336 1 0.69199 1.64174 0.983026
337 1 1.58743 0.154789 1.08988
338 0 1.11722 -0.0643561 1.07155
339 0 0.735488 -0.39827 1.04238
340 0 0.460296 -1.2905 1.07164
341 1 -0.0844439 -0.331338 1.01794
342 1 1.75732 2.4933 1.0108
343 0 0.568583 -0.986039 1.05403
344 1 1.75225 -0.060845 1.07575
345 2 2.51903 1.97337 1.05454
346 1 -0.660951 0.348037 0.953049
347 1 0.95635 1.07466 1.00851
348 1 1.50223 2.31059 0.993212
349 0 0.921783 -1.52063 1.07838
350 2 1.98592 4.1785 0.971662
351 2 1.65257 4.29463 0.962698
352 1 1.86616 0.839109 1.06026
353 1 1.89119 1.87883 1.03769
354 0 -0.642061 -1.81865 1.01918
355 1 1.05144 2.72494 0.97859
356 0 -0.212887 -1.10157 1.01531
357 1 1.52494 2.31431 1.01069
358 1 0.432759 1.69986 0.973755
359 0 1.03141 1.86219 0.994827
360 1 2.49952 1.79245 1.05453
361 2 2.42693 2.48176 1.04781
362 0 1.06617 0.369162 1.02867
363 1 -0.223985 0.224185 0.984287
364 1 -1.27854 0.399594 0.949047
365 0 -0.387702 -0.795073 1.01341
366 1 -0.178475 1.29461 0.958388
367 1 0.73917 2.70546 0.967583
368 1 0.0999521 1.06914 0.965112
369 1 2.88903 1.72085 1.08211
370 1 0.970396 3.41419 0.945542
371 1 0.0166277 2.24528 0.93505
372 1 0.0592198 0.114065 0.976888
373 1 -0.318697 2.09411 0.908175
374 1 -1.21407 1.35119 0.91245
375 0 1.84365 0.861219 1.06044
376 0 -1.45415 -0.971127 0.965865
377 1 0.359337 1.42723 0.9786
378 0 -0.977728 0.372475 0.925134
379 1 -0.621361 3.00957 0.880076
380 1 1.72554 -0.272707 1.09054
381 1 0.679295 1.02914 0.998149
382 1 1.04937 0.58552 1.03401
383 1 0.706198 0.831853 1.01021
384 0 0.31066 0.532974 0.982629
385 1 0.410151 1.65747 0.955668
386 1 0.781833 0.238041 1.0208
387 2 1.56598 0.774244 1.06512
388 1 0.911618 0.772127 1.03002
389 0 -0.645161 0.281199 0.962836
390 0 0.998786 -1.14981 1.07616
391 1 0.343742 2.60915 0.942802
392 1 0.19906 2.13157 0.929243
393 0 0.0619894 1.29981 0.959706
394 0 -0.8314 0.077614 0.959926
395 1 -0.468885 0.050571 0.96916
396 1 -0.50796 -1.11308 1.01826
397 2 3.09432 0.49359 1.12436
398 0 1.15407 -1.77308 1.11928
399 1 1.23006 2.90729 0.966078
400 1 2.35999 1.3771 1.06894
401 1 1.62114 1.16655 1.04779
402 1 1.94383 1.98267 1.03056
403 0 -0.703131 -0.0191267 0.952965
404 0 -0.0189481 1.66744 0.960762
405 0 1.53332 1.35694 1.03177
406 1 2.42163 -0.446141 1.13414
407 1 -0.406827 -0.17316 1.00614
408 1 -0.0475828 1.02771 0.977381
409 1 1.93036 1.72388 1.05213
410 1 2.5354 1.15363 1.10373
411 0 -1.09955 0.220276 0.933616
412 0 -3.40855 -0.424845 0.846415
413 1 -0.387011 2.21458 0.903436
414 1 0.925997 0.5199 1.0181
415 0 1.16722 0.703179 1.03972
416 0 0.291598 0.832575 0.981366
417 1 0.574509 -0.174156 1.03962
418 0 -0.797083 -0.357859 0.963683
419 1 1.77197 -0.365595 1.09504
420 2 -0.246572 2.27725 0.920924
421 1 1.86902 -0.0427179 1.11274
422 1 2.53407 2.80568 1.03296
423 1 1.0511 -0.278057 1.05192
424 1 -0.381078 2.00268 0.90448
425 0 1.39404 0.236023 1.04023
426 1 2.33469 0.0177206 1.13095
427 1 2.23796 0.165949 1.11086
428 1 2.40153 1.11753 1.09657
429 0 0.31042 -0.892466 1.05251
430 0 -0.0448463 -0.608081 1.00959
431 1 0.169583 -0.0628745 1.02182
432 1 0.376472 1.88881 0.958332
433 2 2.36931 1.79441 1.07925
434 1 0.918681 0.241255 1.04187
435 0 -0.173823 0.467322 0.974643
436 1 0.606841 1.99441 0.964454
437 1 2.53225 0.787164 1.09777
438 2 1.54012 2.27558 1.01893
439 1 1.67517 0.609067 1.07848
440 1 2.34211 0.246151 1.09726
441 1 1.78286 0.934468 1.04831
442 2 0.452753 2.81863 0.946472
443 1 -0.32699 2.18253 0.921523
444 1 1.31826 1.61645 1.00548
445 1 2.29536 1.30923 1.0762
446 0 0.548412 0.262665 1.02451
447 1 1.45642 0.791226 1.03656
448 0 -0.912564 -2.03253 1.00604
449 1 -1.24958 2.016 0.867222
450 1 2.13108 3.75966 0.98773
451 2 2.51893 3.14143 1.02656
452 0 -1.33467 1.7146 0.859298
453 1 0.733495 1.95358 0.975422
454 1 0.372897 0.539955 0.99557
455 1 0.573636 -0.185827 1.03887
456 1 0.670092 -0.357686 1.0424
457 0 1.20913 0.650011 1.04982
458 1 1.44388 1.0512 1.04129
459 0 -1.14141 1.46161 0.889109
460 0 -0.455407 2.01795 0.917622
461 1 0.34926 -0.273917 1.03155
462 0 -0.03254 -0.471433 1.00121
463 0 0.28666 0.477905 1.00235
464 1 -0.712032 1.15133 0.929659
465 2 -0.0562383 2.60894 0.912687
466 1 1.18554 -0.0566 1.0766
467 0 0.129575 -0.875909 1.024
468 1 1.79677 2.84917 1.00551
469 1 1.54981 1.30511 1.03214
470 0 -0.863614 -0.0191437 0.9508
471 1 1.98717 2.50068 1.02776
472 1 1.0606 1.49926 1.01599
473 1 0.0247703 1.66498 0.957519
474 0 2.14205 0.971798 1.06962
475 0 0.967784 -0.12291 1.04289
476 1 0.557115 1.33242 1.0005
477 0 -1.42837 0.265261 0.91433
478 0 -0.0146241 -0.909105 1.02267
479 0 0.576047 -0.741505 1.06726
480 0 -0.825697 -0.62588 0.983128
481 1 0.759505 1.45999 0.998839
482 0 -0.319139 -0.237409 0.993982
483 2 1.54747 1.41587 1.03916
484 1 1.7034 -0.568979 1.10507
485 1 1.78944 0.962906 1.06214
486 0 -2.30019 0.354282 0.86265
487 1 0.857186 -0.640092 1.06386
488 1 1.35025 2.23306 1.00195
489 0 -0.666125 1.85967 0.909294
490 0 1.83158 2.06378 1.02554
491 2 2.18869 1.49905 1.05483
492 1 0.478801 1.89227 0.947628
493 2 3.10066 1.56179 1.10572
494 1 2.29267 -0.145059 1.1174
495 1 0.655792 0.407312 1.02154
496 1 0.999922 0.113525 1.04717
497 0 1.88061 1.7009 1.05448
498 2 2.64449 3.1576 1.03313
499 2 0.192796 3.39314 0.891239
500 1 1.34938 0.579558 1.06048
501 1 1.46975 2.54406 0.990963
502 0 -0.475952 -0.723673 1.00061
503 2 1.85974 2.30253 1.03033
504 0 -1.30113 -0.629835 0.956253
505 0 -2.18773 1.15741 0.852972
506 1 2.23021 1.29024 1.07281
507 0 1.66521 -0.91523 1.09013
508 1 0.497613 0.403327 1.01916
509 1 2.01101 1.115 1.06234
510 0 0.53531 -0.573921 1.04615
511 1 2.16039 1.84611 1.05927
512 1 1.33498 1.11319 1.03599
513 0 -0.315033 0.967926 0.96445
514 1 1.18317 1.62583 1.00647
515 2 2.1734 1.86006 1.04833
516 2 2.05705 1.26991 1.06417
517 0 -0.78457 -0.685381 0.998763
518 0 -0.307358 0.392566 0.990002
519 2 2.42143 1.30816 1.07365
520 2 1.93316 2.48992 1.03686
521 0 -0.267028 -1.56416 1.01012
522 2 3.59733 1.864 1.11076
523 1 -0.58383 -0.190809 0.986083
524 1 1.01972 1.78229 0.99111
525 2 2.01879 2.63359 1.02267
526 0 -0.810118 -0.349213 0.969924
527 1 1.06622 3.23233 0.972337
528 2 3.66377 2.08805 1.1037
529 0 -0.855503 -1.14096 0.983807
530 1 0.527295 2.66102 0.943031
531 1 0.421486 1.91209 0.962929
532 1 1.48439 0.707948 1.04845
533 1 0.614097 1.0277 0.998595
534 1 1.87249 1.47642 1.05209
535 2 2.48032 2.39822 1.04752
536 2 0.806756 1.50093 0.97376
537 0 1.37968 1.68403 1.01695
538 1 1.9544 1.37499 1.02668
539 1 0.858542 0.230918 1.02243
540 2 1.44147 1.63673 1.02227
541 2 3.18329 -0.257993 1.14753
542 2 1.6967 1.37301 1.04816
543 2 1.45977 1.87597 1.01397
544 1 1.85853 2.95665 1.00569
545 0 -0.177751 0.569305 0.976153
546 0 -1.51641 -0.961489 0.933374
547 1 1.05672 0.721756 1.044
548 0 0.556016 0.826905 1.01391
549 1 0.313046 2.73307 0.928873
550 1 0.523733 0.133437 1.0392
551 1 1.67864 0.909419 1.05022
552 0 -1.498 -0.81909 0.942616
553 2 3.52202 2.27948 1.13725
554 2 2.15778 2.64196 1.03749
555 1 2.35224 0.275665 1.10397
556 2 1.98678 2.50202 1.02676
557 1 0.690234 0.293293 1.01826
558 2 1.61874 0.483414 1.06437
559 0 0.114604 -0.776613 1.02433
560 0 0.0125564 -0.279946 1.00244
561 1 -0.0687083 0.011711 0.977859
562 1 0.321538 0.471345 0.992562
563 0 0.783354 0.126814 1.03239
564 0 0.43948 1.19428 0.997139
565 2 3.55235 2.97612 1.07948
566 1 1.05108 -1.01119 1.09432
567 0 0.134147 -1.17392 1.04906
568 1 1.73851 -0.154453 1.09117
569 0 0.264625 0.11748 1.00897
570 1 0.977959 0.0896352 1.02636
571 1 1.01287 -0.622346 1.06895
572 2 0.822075 2.71007 0.96164
573 2 1.51412 2.30987 1.00442
574 1 0.797402 2.39054 0.9729
575 1 1.89572 1.82523 1.03593
576 1 1.07922 -1.30601 1.09153
577 2 2.86108 1.99827 1.0835
578 1 1.17063 1.51419 1.00372
579 1 0.593197 1.14316 0.990308
580 2 3.0328 2.56644 1.09209
581 0 -0.567726 -0.101541 0.986209
582 0 -0.671733 -0.869484 1.00058
583 1 1.0279 0.312116 1.01971
584 1 -0.398711 2.3434 0.907157
585 1 0.176734 -0.128412 1.01002
586 2 1.19292 2.04571 0.985667
587 1 0.417701 0.453717 1.0089
588 0 -0.366784 -0.00286112 1.00642
589 0 -0.809703 -0.927012 0.989227
590 1 -0.395503 0.450667 0.965696
591 1 0.0447016 -0.818003 1.03626
592 2 2.44209 0.986116 1.09365
593 0 -1.30753 1.15958 0.904828
594 1 1.70067 1.94828 1.03537
595 1 0.412647 1.00991 0.992824
596 1 2.16397 1.46297 1.04603
597 2 0.555315 3.286 0.926427
598 1 -0.279938 0.53316 0.968231
599 1 0.407852 2.28097 0.952111
600 1 1.63589 0.676067 1.07092
601 0 0.636424 -0.168752 1.04066
602 2 1.66492 2.79977 1.00433
603 2 2.91672 2.15582 1.08338
604 1 -1.346 1.39024 0.878595
605 1 -0.0811477 1.44399 0.946243
606 0 -0.271773 0.470226 0.974291
607 1 -0.0996484 0.507115 0.992024
608 2 3.75106 2.36289 1.11654
609 0 0.737901 0.330497 1.01938
610 0 0.456029 -0.0789423 1.03205
611 0 -0.21862 1.16491 0.954146
612 1 -0.3849 0.433045 0.969756
613 1 0.615265 2.12342 0.967581
614 0 -0.628583 0.929175 0.949249
615 0 -0.936886 -0.940685 0.970625
616 1 0.831096 2.92738 0.949899
617 1 2.1369 1.48167 1.06574
618 1 1.18241 -0.0313008 1.05458
619 1 1.86424 -1.17191 1.12202
620 1 0.14171 2.39847 0.94148
621 1 0.0854055 1.2437 0.958206
622 1 2.84899 0.497087 1.13749
623 1 1.3853 2.69802 1.00365
624 1 0.571015 -0.671938 1.0365
625 2 3.06366 2.32615 1.11371
626 0 -1.74168 -0.229945 0.919742
627 1 0.680229 0.924643 1.02659
628 0 0.522189 1.54742 0.991322
629 2 2.12999 -0.0300764 1.10056
630 0 -0.111848 1.16806 0.970889
631 0 -0.473816 0.0214405 0.98505
632 1 -0.73364 -1.35865 1.01559
633 0 1.40576 0.2144 1.06904
634 2 2.66656 1.19309 1.07583
635 1 0.700167 0.262848 1.02926
636 1 1.15137 2.95004 0.969704
637 0 -1.17077 -0.292954 0.952042
638 1 0.559061 -0.0748054 1.03802
639 0 0.50778 0.881265 1.00159
640 2 2.67108 2.50417 1.05198
641 1 0.683539 3.00019 0.929515
642 0 0.162659 1.12234 0.974426
643 1 1.19311 0.601504 1.03808
644 2 0.546947 3.48903 0.917999
645 1 -0.710479 2.28559 0.903267
646 0 0.798824 -0.00307532 1.03471
647 1 0.741937 0.0341087 1.02914
648 1 -0.339837 2.75875 0.884729
649 0 0.307911 -1.73468 1.08573
650 0 -0.50609 -1.41632 1.01678
651 1 0.584721 1.06981 0.995588
652 0 0.173874 -0.368806 1.01506
653 0 -0.231794 -1.84284 1.04169
654 1 0.828658 1.75748 1.00752
655 0 -0.685177 2.11726 0.896321
656 0 1.6382 -1.53004 1.12229
657 0 -0.911514 2.1465 0.902498
658 1 1.56667 -0.515401 1.10127
659 1 2.10278 2.14626 1.05124
660 0 1.37986 -1.62173 1.13501
661 0 0.35693 0.621155 1.00536
662 1 1.29633 0.744694 1.04871
663 1 1.00319 0.128943 1.03809
664 0 -1.35296 -1.27762 0.984647
665 0 -1.82168 -1.01519 0.952111
666 0 0.523464 -1.11413 1.04574
667 1 -0.470661 0.979686 0.945416
668 1 0.197665 0.0758644 1.01397
669 0 -0.697418 0.346479 0.964773
670 0 1.16662 -0.00747014 1.05199
671 1 0.0704812 0.87026 0.964846
672 1 -0.565473 0.160953 0.978072
673 1 1.50291 2.36744 1.00481
674 0 0.214117 0.169526 1.02645
675 0 1.41536 0.956663 1.02584
676 1 1.21324 0.0644153 1.05918
677 2 2.90998 2.0473 1.08619
678 2 1.48102 3.62437 0.977969
679 1 1.2457 -0.183857 1.05487
680 1 -0.222726 0.123605 0.982597
681 2 1.32121 3.78461 0.957243
682 2 2.2134 2.38174 1.05547
683 2 0.234533 3.34143 0.890337
684 1 2.20098 2.51881 1.02503
685 0 -0.299225 0.875543 0.961984
686 2 1.87822 1.34204 1.0571
687 2 1.96963 1.96453 1.02815
688 1 2.0013 1.25881 1.07399
689 1 0.763285 0.646777 1.03353
690 1 -0.277242 1.53223 0.936768
691 2 2.10681 2.98485 1.02498
692 1 2.42109 1.58765 1.0709
693 1 0.37938 1.73371 0.973467
694 1 0.367273 0.922274 0.975787
695 2 2.56614 3.09515 1.02718
696 2 1.57279 2.45192 1.01517
697 1 1.56197 1.71203 1.01417
698 1 1.26857 -1.03175 1.09419
699 1 1.1671 1.46551 1.0254
700 1 -0.962207 1.48623 0.89227
701 1 -0.400031 1.76812 0.912408
702 1 -0.772173 1.8248 0.897339
703 2 2.55484 2.22232 1.05487
704 0 -0.726038 0.558492 0.936643
705 0 0.00616469 -0.332128 1.00494
706 1 0.743936 1.22603 1.00155
707 0 1.33118 -1.47143 1.10185
708 0 -0.524213 0.781032 0.958116
709 1 0.58485 2.06461 0.988307
710 1 1.87174 1.48149 1.05037
711 1 1.96283 0.509938 1.08642
712 0 -0.0336921 0.859382 0.980617
